frame,x,y
1037,1006.0,841.0
1038,1015.0,840.25
1039,1022.0,840.25
1040,1035.0,840.5
1041,1040.0,840.75
1042,1056.0,841.75
1043,1070.0,842.25
1044,1083.0,842.25
1045,1093.0,845.75
1046,1103.0,849.75
1047,1106.0,851.25
1048,1122.0,852.25
1049,1143.0,853.25
1050,1158.0,853.75
1051,1165.0,853.25
1052,1163.0,852.25
1053,1161.0,852.75
1054,1155.0,851.75
1055,1154.0,849.25
1056,1154.0,848.75
1057,1157.0,848.0
1058,1149.0,847.25
1059,1146.0,847.0
1060,1144.0,849.75
1061,1131.0,857.5
1062,1120.0,862.0
1063,1112.0,863.75
1064,1111.0,865.5
1065,1111.0,865.75
1066,1112.0,864.0
1067,1112.0,862.0
1068,1109.0,858.0
1069,1105.0,855.75
1070,1102.0,853.5
1071,1101.0,852.25
1072,1097.0,851.0
1073,1091.0,850.0
1074,1086.0,848.75
1075,1081.0,847.75
1076,1077.0,846.25
1077,1076.0,846.5
1078,1072.0,845.5
1079,1071.0,843.5
1080,1070.0,841.5
1081,1069.0,836.25
1082,1066.0,831.25
1083,1065.0,830.0
1084,1062.0,824.25
1085,1059.0,817.75
1086,1054.0,814.75
1087,1048.0,810.75
1088,1039.0,808.0
1089,1036.0,807.75
1090,1032.0,807.25
1091,1031.0,808.5
1092,1030.0,809.75
1093,1032.0,808.75
1094,1032.0,806.5
1095,1033.0,805.5
1096,1031.0,803.25
1097,1031.0,802.5
1098,1030.0,803.5
1099,1029.0,804.5
1100,1026.0,805.5
1101,1025.0,805.5
1102,1022.0,807.25
1103,1019.0,809.0
1104,1014.0,811.25
1105,1007.0,812.0
1106,997.0,812.25
1107,993.0,811.25
1108,982.0,811.75
1109,971.0,812.5
1110,959.0,814.75
1111,944.0,813.75
1112,934.0,819.5
1113,932.0,821.25
1114,924.0,827.0
1115,917.0,832.25
1116,910.0,835.0
1117,903.0,836.5
1118,900.0,839.75
1119,899.0,840.75
1120,893.0,844.0
1121,883.0,847.0
1122,872.0,850.0
1123,865.0,853.25
1124,859.0,862.5
1125,856.0,865.5
1126,853.0,874.75
1127,840.0,879.25
1128,828.0,880.25
1129,812.0,881.5
1130,809.0,881.75
1131,808.0,882.0
1132,808.0,881.0
1133,812.0,880.0
1134,816.0,878.25
1135,816.0,877.0
1136,815.0,875.75
1137,814.0,876.0
1138,814.0,875.75
1139,813.0,875.25
1140,814.0,874.75
1141,817.0,874.25
1142,822.0,873.75
1143,824.0,873.0
1144,828.0,872.75
1145,831.0,871.75
1146,834.0,871.25
1147,836.0,871.0
1148,837.0,870.75
1149,837.0,869.75
1150,839.0,867.75
1151,846.0,860.25
1152,850.0,853.25
1153,853.0,847.5
1154,854.0,844.5
1155,855.0,843.75
1156,857.0,842.5
1157,860.0,842.5
1158,864.0,841.0
1159,867.0,840.0
1160,869.0,835.5
1161,870.0,833.75
1162,873.0,835.75
1163,875.0,832.75
1164,875.0,826.0
1165,883.0,821.5
1166,889.0,814.75
1167,891.0,812.5
1168,894.0,809.0
1169,902.0,804.25
1170,908.0,801.0
1171,912.0,798.75
1172,924.0,797.25
1173,928.0,796.0
1174,936.0,796.75
1175,942.0,799.0
1176,948.0,799.75
1177,956.0,801.25
1178,958.0,802.5
1179,959.0,803.5
1180,960.0,803.5
1181,962.0,802.25
1182,961.0,800.5
1183,964.0,798.25
1184,973.0,796.5
1185,977.0,796.75
1186,993.0,796.5
1187,1015.0,794.75
1188,1038.0,793.75
1189,1060.0,792.5
1190,1072.0,792.5
1191,1077.0,792.75
1192,1080.0,791.75
1193,1086.0,791.5
1194,1093.0,789.0
1195,1100.0,786.5
1196,1102.0,785.0
1197,1103.0,784.75
1198,1106.0,784.75
1199,1117.0,782.75
1200,1124.0,782.25
1201,1136.0,780.25
1202,1143.0,779.5
1203,1145.0,779.5
1204,1144.0,775.75
1205,1146.0,769.0
1206,1149.0,763.25
1207,1154.0,757.5
1208,1160.0,748.5
1209,1162.0,745.5
1210,1164.0,744.75
1211,1165.0,743.5
1212,1165.0,740.75
1213,1161.0,739.25
1214,1157.0,738.0
1215,1155.0,738.0
1216,1152.0,739.75
1217,1151.0,740.5
1218,1153.0,740.75
1219,1151.0,742.5
1220,1145.0,742.0
1221,1143.0,741.5
1222,1140.0,741.0
1223,1137.0,739.75
1224,1134.0,741.25
1225,1131.0,743.5
1226,1128.0,747.5
1227,1126.0,749.5
1228,1123.0,752.5
1229,1120.0,757.0
1230,1119.0,764.0
1231,1116.0,767.75
1232,1116.0,770.25
1233,1116.0,771.5
1234,1114.0,770.75
1235,1112.0,772.25
1236,1108.0,776.0
1237,1096.0,781.0
1238,1083.0,788.5
1239,1078.0,791.25
1240,1067.0,798.5
1241,1059.0,808.25
1242,1052.0,815.25
1243,1049.0,818.25
1244,1047.0,819.5
1245,1047.0,819.5
1246,1048.0,819.0
1247,1050.0,817.75
1248,1051.0,817.0
1249,1052.0,815.0
1250,1051.0,814.75
1251,1051.0,814.25
1252,1052.0,815.25
1253,1051.0,815.5
